"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"127",1,123499,"ud",2,1,9.23623965521725,1,0,0,0,2,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"128",2,123508,"ud",2,2,7.66103984215985,2,0,0,0,3,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"129",3,123517,"ud",2,4,5.38713019508459,1,0,0,0,2,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"130",4,123526,"ud",2,3,4.57638043875349,1,0,0,0,2,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"131",5,123535,"ud",2,5,10.3949856274627,2,0,0,0,3,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"132",6,123407,"cd",2,3,12.5896280889957,0,0,3,1,3,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"133",7,123415,"cd",2,5,21.9284257354175,0,0,5,1,5,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"134",8,123425,"cd",2,2,7.61577800321027,0,0,2,1,2,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"135",9,123432,"cd",2,6,20.8383772439658,0,0,6,1,6,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"136",10,123443,"cd",2,4,18.1059256486418,0,0,4,1,4,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"137",11,123452,"cd",2,7,15.278312035349,0,0,3,2,3,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"138",12,123460,"cd",2,1,7.94664677687637,0,0,2,1,2,8,7,"outjabm",11,"7","1b71864a2d3b8b238c4d6ff41ded590d096d6f03.csv"
"139",1,142212,"ud",2,1,9.23623965521725,1,0,0,0,2,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"140",2,142221,"ud",2,2,7.66103984215985,2,0,0,0,3,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"141",3,142230,"ud",2,4,5.38713019508459,1,0,0,0,2,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"142",4,142239,"ud",2,3,4.57638043875349,1,0,0,0,2,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"143",5,142248,"ud",2,5,10.3949856274627,2,0,0,0,3,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"144",6,142120,"cd",2,3,12.5896280889957,0,0,3,1,3,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"145",7,142128,"cd",2,5,21.9284257354175,0,0,5,1,5,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"146",8,142138,"cd",2,2,7.61577800321027,0,0,2,1,2,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"147",9,142145,"cd",2,6,20.8383772439658,0,0,6,1,6,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"148",10,142156,"cd",2,4,18.1059256486418,0,0,4,1,4,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"149",11,142165,"cd",2,7,15.278312035349,0,0,3,2,3,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"150",12,142173,"cd",2,1,7.94664677687637,0,0,2,1,2,8,7,"outjabm",12,"8","ed3f79225bbd2c0138496aa1f1534268e37342f2.csv"
"151",1,160925,"ud",2,2,7.66103984215985,2,0,0,0,3,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"152",2,160934,"ud",2,1,9.23623965521725,1,0,0,0,2,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"153",3,160946,"ud",2,4,5.38713019508459,1,0,0,0,2,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"154",4,160955,"ud",2,3,4.57638043875349,1,0,0,0,2,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"155",5,160964,"ud",2,5,10.3949856274627,2,0,0,0,3,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"156",6,160833,"cd",2,2,7.61577800321027,0,0,2,1,2,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"157",7,160840,"cd",2,6,20.8383772439658,0,0,6,1,6,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"158",8,160851,"cd",2,3,12.5896280889957,0,0,3,1,3,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"159",9,160859,"cd",2,5,21.9284257354175,0,0,5,1,5,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"160",10,160869,"cd",2,4,18.1059256486418,0,0,4,1,4,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"161",11,160878,"cd",2,7,15.278312035349,0,0,3,2,3,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
"162",12,160886,"cd",2,1,7.94664677687637,0,0,2,1,2,8,7,"outjabm",13,"9","12c7cc28ad85f188875add80328a2b75106954ca.csv"
